初始文件名,最终文件名,嵌入字符串,编码模式,编码长度
（pid=24264195）ホーム背景_cropped_at_80.bmp,（pid=24264195）ホーム背景_cropped_at_80_output_2023-07-01-19-11-16.bmp,v,ascii,1
（pid=32204529）【宣伝】 Revision 【背景の描き方本】_cropped_at_80.bmp,（pid=32204529）【宣伝】 Revision 【背景の描き方本】_cropped_at_80_output_2023-07-01-19-11-16.bmp,Kw,ascii,2
（pid=39578544）背景!!_p0_cropped_at_80.bmp,（pid=39578544）背景!!_p0_cropped_at_80_output_2023-07-01-19-11-17.bmp,kNB,ascii,3
（pid=39578544）背景!!_p10_cropped_at_80.bmp,（pid=39578544）背景!!_p10_cropped_at_80_output_2023-07-01-19-11-17.bmp,QpzYT,ascii,5
（pid=39578544）背景!!_p11_cropped_at_80.bmp,（pid=39578544）背景!!_p11_cropped_at_80_output_2023-07-01-19-11-17.bmp,OnumgfDGrf,ascii,10
（pid=39578544）背景!!_p12_cropped_at_80.bmp,（pid=39578544）背景!!_p12_cropped_at_80_output_2023-07-01-19-11-17.bmp,tesjjJNqwwrAyfQeDliaxyqXB,ascii,25
（pid=39578544）背景!!_p13_cropped_at_80.bmp,（pid=39578544）背景!!_p13_cropped_at_80_output_2023-07-01-19-11-17.bmp,XHrNrppFGwuAZLtsNxweTwQaPebtaZUdQxSQOmulQXMLWbYrGM,ascii,50
（pid=39578544）背景!!_p14_cropped_at_80.bmp,（pid=39578544）背景!!_p14_cropped_at_80_output_2023-07-01-19-11-17.bmp,CXOnptupOuCIhboJdiZqdbtdBOkYJnHrDdssKUJFQggLXPHhDNTXkllUoMHfaneNwVjjtGVnnuZvHMApTgiDPJWPTSpUcurSBtod,ascii,100
（pid=39578544）背景!!_p15_cropped_at_80.bmp,（pid=39578544）背景!!_p15_cropped_at_80_output_2023-07-01-19-11-17.bmp,whfdcYpomgRLXFbkqqJgccoPDciAYzmJtEZtixaQgBiVeVovIkXiECNbxnfuyrPHhfQLrvFuGeCCQBgyHrulAWoJZWbygjCylnTLEFKAdlMzXIhsWpmwYLCZLZZAHjdvUcOpuZkpstqHXbSaHkIyDcGEHADWIKDWAMRzRrFzPADzAxDLWTDSMqpUitsYPAZCsyVbyeWxaXAefxAWcNlxhejhSLIvjJFYkarUfpCsKldyzGsWYrMRuKVqZU,ascii,250
（pid=39578544）背景!!_p16_cropped_at_80.bmp,（pid=39578544）背景!!_p16_cropped_at_80_output_2023-07-01-19-11-17.bmp,BjbDRZoVzZcQYiPEQpDRruruTVyugUeQtZCmOxUTvhcnqDGTfEaeBXSszUYhNCKXCpTACmqOqshxNOshzNVdxacCQDMCCIqnUWYgeOlLGlZCJeZrNScbIcQtxpmZUQDMMioksXYmLtVpJXxHZVWPpKjqEiUXXMVQhqMRKTadIJLbDnPvHSOwMeXCkGpZqbmsmSQchUmaWpjDMQELqofLxpmUIWuXFXgMqhRGhvRJFVSOpUvkCQYEIcmmHnOPbtqnKKohbpIzltonMGfyoYqOuHUZGegzVqcTSxKsCEfiDKlrPIrsLaQOXyEksPMvngHVaOcwTWbhfAYipQhgRTJUtcOSjJyepqeZqFBukabmpaAjTrgNfRqTsnylfvAswHWNRAIKpFjDtVZvBRiVgapClhotchaJaStCMEaDwYbJLFzsVJKDPDKPlpXLSTXlNUpVtGZcuOeOlIDruSZhcAGqYLowTweDSoiAegZyQQHDbzCbnneOUyIs,ascii,500
